cli
カテゴリ, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
world, 0, 0, 0, 0, 2, 2, 4, 46, 146, 540, 1055, 1051, 579, 249
sports, 0, 0, 0, 2, 7, 24, 68, 284, 520, 514, 340, 222, 85, 45
business, 0, 0, 0, 0, 0, 1, 14, 27, 121, 383, 571, 484, 152, 75
science, 0, 0, 0, 0, 0, 0, 0, 4, 20, 73, 96, 79, 41, 17
technology, 0, 0, 0, 0, 0, 0, 1, 15, 53, 115, 148, 110, 54, 26
entertainment, 0, 0, 0, 0, 0, 3, 19, 66, 174, 242, 208, 118, 45, 38
, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ari
カテゴリ, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
world, 4, 1, 10, 11, 21, 43, 93, 201, 307, 414, 532, 564, 487, 986
sports, 2, 3, 34, 52, 87, 132, 211, 262, 266, 257, 235, 196, 147, 227
business, 0, 0, 2, 14, 17, 63, 127, 180, 187, 221, 242, 197, 182, 396
science, 0, 2, 2, 0, 2, 2, 12, 9, 37, 34, 48, 66, 52, 64
technology, 1, 0, 1, 0, 6, 13, 29, 52, 55, 66, 89, 65, 57, 88
entertainment, 1, 3, 7, 15, 22, 59, 72, 102, 107, 136, 105, 93, 56, 135
, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
fkg
カテゴリ, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
world, 0, 2, 7, 6, 12, 23, 87, 179, 344, 502, 648, 634, 536, 694
sports, 0, 3, 44, 41, 58, 141, 276, 313, 348, 299, 239, 172, 69, 108
business, 0, 0, 0, 0, 8, 32, 69, 178, 229, 272, 306, 269, 181, 284
science, 0, 0, 0, 2, 2, 3, 7, 9, 39, 44, 63, 78, 38, 45
technology, 0, 0, 0, 2, 1, 11, 15, 53, 63, 82, 105, 75, 48, 67
entertainment, 0, 0, 4, 1, 10, 36, 78, 121, 147, 151, 129, 90, 48, 98
, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
