cli
新聞社, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
MAINICHI, 0, 0, 0, 0, 0, 3, 8, 19, 64, 113, 130, 135, 77, 42
CNN, 0, 0, 0, 0, 0, 0, 11, 54, 148, 264, 315, 236, 61, 13
BBC, 1, 0, 0, 1, 5, 16, 43, 234, 525, 812, 919, 687, 291, 106
VOA, 0, 0, 0, 0, 2, 0, 1, 8, 45, 136, 330, 349, 192, 94
TheJapanTimes, 0, 0, 0, 0, 0, 1, 16, 56, 146, 227, 339, 337, 177, 57
Asahi, 0, 0, 0, 0, 1, 1, 3, 22, 54, 66, 93, 118, 96, 193
TIME, 0, 0, 0, 0, 0, 3, 19, 66, 118, 313, 359, 247, 129, 77
NewYorkTimes, 0, 0, 0, 1, 2, 8, 13, 50, 118, 199, 261, 212, 86, 24
ari
新聞社, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
MAINICHI, 0, 1, 3, 6, 4, 16, 28, 32, 58, 64, 66, 91, 67, 155
CNN, 1, 1, 5, 10, 26, 80, 135, 204, 148, 144, 116, 96, 54, 82
BBC, 2, 5, 42, 55, 101, 153, 282, 407, 492, 590, 549, 404, 260, 298
VOA, 2, 1, 1, 2, 4, 9, 20, 41, 71, 107, 140, 206, 204, 349
TheJapanTimes, 0, 0, 2, 4, 11, 22, 44, 77, 87, 107, 173, 203, 198, 428
Asahi, 1, 2, 1, 1, 1, 0, 1, 6, 35, 20, 7, 24, 22, 526
TIME, 4, 3, 5, 20, 15, 51, 60, 86, 114, 121, 206, 173, 155, 318
NewYorkTimes, 0, 0, 1, 3, 12, 27, 47, 69, 88, 100, 122, 133, 124, 248
fkg
新聞社, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
MAINICHI, 0, 0, 0, 2, 2, 8, 31, 57, 69, 85, 82, 94, 63, 98
CNN, 0, 0, 1, 4, 8, 37, 110, 197, 214, 195, 141, 88, 56, 51
BBC, 0, 6, 51, 47, 64, 151, 284, 412, 597, 706, 578, 406, 163, 175
VOA, 0, 0, 0, 1, 1, 5, 15, 34, 60, 110, 193, 224, 245, 269
TheJapanTimes, 0, 0, 0, 0, 7, 28, 54, 79, 107, 153, 218, 254, 178, 278
Asahi, 1, 1, 2, 0, 2, 2, 3, 24, 12, 16, 32, 51, 41, 460
TIME, 0, 0, 2, 6, 15, 35, 57, 100, 140, 150, 248, 216, 160, 202
NewYorkTimes, 0, 0, 1, 0, 2, 18, 49, 76, 99, 105, 152, 163, 132, 177
