単語, SVL, 回数
a, 1, 120651
able, 1, 1463
above, 1, 605
across, 1, 1529
afraid, 1, 146
after, 1, 11438
afternoon, 1, 326
act, 1, 967
again, 1, 1607
age, 1, 862
against, 1, 5891
ago, 1, 1601
air, 1, 1446
airplane, 1, 68
airport, 1, 633
album, 1, 253
all, 1, 10252
almost, 1, 1182
alone, 1, 449
about, 1, 10509
along, 1, 1037
already, 1, 1828
also, 1, 9632
always, 1, 1244
am, 1, 1516
among, 1, 1949
and, 1, 113781
an, 1, 18580
angry, 1, 167
animal, 1, 474
another, 1, 2930
answer, 1, 588
any, 1, 3438
anybody, 1, 124
anyone, 1, 569
anything, 1, 734
apple, 1, 978
April, 1, 658
are, 1, 22888
apartment, 1, 262
arm, 1, 539
around, 1, 3151
arrive, 1, 673
art, 1, 468
artist, 1, 418
as, 1, 27796
ask, 1, 1936
at, 1, 27849
attack, 1, 5507
August, 1, 548
aunt, 1, 26
autumn, 1, 108
away, 1, 1702
baby, 1, 383
back, 1, 5177
bad, 1, 928
bag, 1, 307
bake, 1, 13
baker, 1, 99
ball, 1, 1691
banana, 1, 12
bank, 1, 2203
baseball, 1, 200
basket, 1, 40
basketball, 1, 225
bat, 1, 175
bath, 1, 208
bathroom, 1, 62
beautiful, 1, 229
be, 1, 39355
because, 1, 5093
become, 1, 3034
bed, 1, 140
bedroom, 1, 51
beef, 1, 97
been, 1, 13637
before, 1, 5082
beginning, 1, 454
begin, 1, 2156
behind, 1, 1413
bell, 1, 171
believe, 1, 2220
below, 1, 604
bench, 1, 121
beside, 1, 50
better, 1, 1809
between, 1, 3350
best, 1, 2912
bicycle, 1, 29
big, 1, 3938
bike, 1, 64
bird, 1, 240
birthday, 1, 143
black, 1, 999
blackboard, 1, 3
blow, 1, 382
blue, 1, 394
boat, 1, 211
body, 1, 1399
book, 1, 1054
boot, 1, 119
born, 1, 584
both, 1, 2953
bottle, 1, 104
box, 1, 2513
boy, 1, 488
bread, 1, 51
break, 1, 1004
breakfast, 1, 112
bridge, 1, 275
bring, 1, 1828
brother, 1, 870
brown, 1, 476
build, 1, 1143
building, 1, 1077
bus, 1, 361
business, 1, 2596
busy, 1, 191
but, 1, 22619
butter, 1, 33
buy, 1, 1286
by, 1, 28517
bye, 1, 12
cafe, 1, 118
cake, 1, 64
camera, 1, 545
call, 1, 4354
camp, 1, 695
calendar, 1, 93
can, 1, 7904
candy, 1, 51
cap, 1, 370
captain, 1, 465
car, 1, 1792
card, 1, 877
careful, 1, 112
carry, 1, 1403
case, 1, 2663
cat, 1, 101
catch, 1, 974
center, 1, 1160
certain, 1, 792
chair, 1, 218
chalk, 1, 14
chance, 1, 1293
change, 1, 3285
cheap, 1, 458
cheese, 1, 32
chicken, 1, 114
chief, 1, 1827
child, 1, 626
children, 1, 1930
chocolate, 1, 138
choose, 1, 444
Christmas, 1, 280
church, 1, 400
circle, 1, 180
city, 1, 5275
class, 1, 680
classmate, 1, 34
clean, 1, 315
classroom, 1, 64
clear, 1, 1441
clever, 1, 70
climb, 1, 293
clock, 1, 172
close, 1, 2007
clothes, 1, 108
cloud, 1, 221
cloudy, 1, 6
